MatchId,Division,Date,Time,HomeTeam,AwayTeam,FullTimeGoalsH,FullTimeGoalsA,HalfTimeGoalsH,HalfTimeGoalsA,ShotsH,ShotsA,ShotsOnTargetH,ShotsOnTargetA,FoulsH,FoulsA,CornersH,CornersA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA
0,D1,8/16/2019,19:30,Bayern Munich,Hertha,2,2,1,2,17,6,7,3,6,17,12,0,3,3,0,0
1,D1,8/17/2019,14:30,Dortmund,Augsburg,5,1,1,1,23,5,10,1,8,6,10,0,0,0,0,0
2,D1,8/17/2019,14:30,Freiburg,Mainz,3,0,0,0,19,19,8,5,6,15,5,5,1,3,0,0
3,D1,8/17/2019,14:30,Leverkusen,Paderborn,3,2,2,2,13,11,4,6,8,9,6,6,2,0,0,0
4,D1,8/17/2019,14:30,Werder Bremen,Fortuna Dusseldorf,1,3,0,1,23,12,10,7,8,13,14,5,0,2,0,0
5,D1,8/17/2019,14:30,Wolfsburg,FC Koln,2,1,1,0,14,11,5,2,14,18,2,6,1,3,0,0
6,D1,8/17/2019,17:30,M'gladbach,Schalke 04,0,0,0,0,16,8,4,1,8,10,8,3,3,2,0,0
7,D1,8/18/2019,14:30,Ein Frankfurt,Hoffenheim,1,0,1,0,17,10,8,1,16,9,10,5,3,1,0,0
8,D1,8/18/2019,17:00,Union Berlin,RB Leipzig,0,4,0,3,13,14,2,8,14,5,3,6,1,0,0,0
9,D1,8/23/2019,19:30,FC Koln,Dortmund,1,3,1,0,13,14,1,6,11,10,7,8,2,1,0,0
10,D1,8/24/2019,14:30,Augsburg,Union Berlin,1,1,0,0,12,13,4,1,16,19,3,4,3,1,0,1
11,D1,8/24/2019,14:30,Fortuna Dusseldorf,Leverkusen,1,3,0,3,11,11,6,7,14,10,1,5,3,2,0,0
12,D1,8/24/2019,14:30,Hoffenheim,Werder Bremen,3,2,0,1,10,18,3,6,13,15,3,6,2,5,0,1
13,D1,8/24/2019,14:30,Mainz,M'gladbach,1,3,1,1,21,15,4,6,12,14,3,5,2,2,0,0
14,D1,8/24/2019,14:30,Paderborn,Freiburg,1,3,1,2,15,9,2,4,20,6,9,5,3,1,0,0
15,D1,8/24/2019,17:30,Schalke 04,Bayern Munich,0,3,0,1,9,10,2,6,11,10,3,4,0,0,0,0
16,D1,8/25/2019,14:30,RB Leipzig,Ein Frankfurt,2,1,1,0,13,11,5,5,10,13,4,1,2,3,0,0
17,D1,8/25/2019,17:00,Hertha,Wolfsburg,0,3,0,1,8,9,2,4,15,11,2,5,1,0,0,0
18,D1,8/30/2019,19:30,M'gladbach,RB Leipzig,1,3,0,1,11,14,3,6,17,19,9,5,3,2,0,0
19,D1,8/31/2019,14:30,Bayern Munich,Mainz,6,1,2,1,19,7,10,4,16,12,10,1,3,3,0,0
20,D1,8/31/2019,14:30,Freiburg,FC Koln,1,2,1,0,14,9,1,3,6,15,5,6,0,2,0,0
21,D1,8/31/2019,14:30,Leverkusen,Hoffenheim,0,0,0,0,20,6,2,1,7,11,19,0,2,2,0,0
22,D1,8/31/2019,14:30,Schalke 04,Hertha,3,0,1,0,9,9,2,3,13,9,5,3,1,1,0,0
23,D1,8/31/2019,14:30,Wolfsburg,Paderborn,1,1,0,1,15,7,5,3,8,12,8,3,0,3,0,0
24,D1,8/31/2019,17:30,Union Berlin,Dortmund,3,1,1,1,15,13,7,2,13,2,7,4,0,0,0,0
25,D1,9/1/2019,14:30,Werder Bremen,Augsburg,3,2,2,1,15,12,5,6,9,11,4,2,1,4,0,1
26,D1,9/1/2019,17:00,Ein Frankfurt,Fortuna Dusseldorf,2,1,0,1,15,14,8,4,13,15,4,1,2,4,0,0
27,D1,9/13/2019,19:30,Fortuna Dusseldorf,Wolfsburg,1,1,1,1,12,15,3,6,7,14,3,8,0,2,0,0
28,D1,9/14/2019,14:30,Augsburg,Ein Frankfurt,2,1,2,0,9,23,6,3,8,8,2,11,2,1,0,0
29,D1,9/14/2019,14:30,Dortmund,Leverkusen,4,0,1,0,11,22,9,12,9,11,3,3,0,3,0,0
30,D1,9/14/2019,14:30,FC Koln,M'gladbach,0,1,0,1,14,15,7,4,22,17,4,7,2,2,0,0
31,D1,9/14/2019,14:30,Mainz,Hertha,2,1,1,0,14,16,5,8,16,11,6,3,2,2,0,0
32,D1,9/14/2019,14:30,Union Berlin,Werder Bremen,1,2,1,1,12,16,5,7,23,10,7,4,3,4,1,1
33,D1,9/14/2019,17:30,RB Leipzig,Bayern Munich,1,1,1,1,12,14,6,7,11,4,3,6,4,2,0,0
34,D1,9/15/2019,14:30,Hoffenheim,Freiburg,0,3,0,2,22,16,5,8,10,6,12,4,0,2,0,0
35,D1,9/15/2019,17:00,Paderborn,Schalke 04,1,5,1,1,9,18,1,11,17,12,3,5,2,1,0,0
36,D1,9/20/2019,19:30,Schalke 04,Mainz,2,1,1,0,19,14,6,3,7,15,5,5,1,1,0,0
37,D1,9/21/2019,14:30,Bayern Munich,FC Koln,4,0,1,0,24,16,5,2,15,20,12,4,4,0,0,1
38,D1,9/21/2019,14:30,Freiburg,Augsburg,1,1,1,1,17,12,5,2,13,13,7,4,1,1,0,0
39,D1,9/21/2019,14:30,Hertha,Paderborn,2,1,1,0,6,17,4,8,13,15,1,8,4,4,0,0
40,D1,9/21/2019,14:30,Leverkusen,Union Berlin,2,0,2,0,20,4,7,0,10,10,8,1,0,1,0,1
41,D1,9/21/2019,17:30,Werder Bremen,RB Leipzig,0,3,0,2,11,14,1,7,11,13,4,7,0,3,0,1
42,D1,9/22/2019,14:30,M'gladbach,Fortuna Dusseldorf,2,1,0,1,23,18,11,4,14,11,10,4,2,3,0,0
43,D1,9/22/2019,17:00,Ein Frankfurt,Dortmund,2,2,1,1,17,15,3,7,18,10,5,8,2,2,0,0
44,D1,9/23/2019,19:30,Wolfsburg,Hoffenheim,1,1,1,1,12,11,4,5,11,18,4,6,2,4,0,0
