PlayerId,Name,Age,Photo,Nationality,Flag,OverallRating,Potential,Club,ClubLogo,Value,Wage,InternationalReputation,Skill,JerseyNumber,ContractValidUntil,Height,Weight,NPassing,NBallControl,NAdjustedAgility,NStamina,NStrength,NPositioning,GKPenalties,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,BestPosition,BestOverallRating,ReleaseClause
176580,L. Suarez,33,https://cdn.sofifa.com/players/176/580/20_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,87,87,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,31.5M,115K,5,3,9,2022,6'0,190lbs,81,84,72,78,85,91,83,27,25,31,33,37,ST,87,64.6M
192985,K. De Bruyne,29,https://cdn.sofifa.com/players/192/985/20_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,91,91,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,87M,370K,4,4,17,2023,5'11,154lbs,92,92,77,89,74,88,84,15,13,5,10,13,CAM,91,161M
212198,Bruno Fernandes,25,https://cdn.sofifa.com/players/212/198/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,87,90,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,63M,195K,2,4,18,2025,5'10,152lbs,87,88,78,94,67,83,91,12,14,15,8,14,CAM,88,124.4M
178518,R. Nainggolan,32,https://cdn.sofifa.com/players/178/518/20_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,83,83,Inter,https://cdn.sofifa.com/teams/44/light_30.png,20M,125K,3,3,44,2022,5'9,143lbs,83,84,72,89,75,84,63,11,11,14,8,11,CDM,85,33M
181291,G. Wijnaldum,29,https://cdn.sofifa.com/players/181/291/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,85,85,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,37M,150K,3,4,5,2021,5'9,152lbs,85,88,79,93,74,79,74,16,6,14,12,6,CM,85,68.5M
155862,Sergio Ramos,34,https://cdn.sofifa.com/players/155/862/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,89,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,24.5M,300K,4,3,4,2021,6'0,181lbs,77,83,73,81,85,73,92,11,8,9,7,11,CB,89,50.2M
177003,L. Modric,34,https://cdn.sofifa.com/players/177/003/20_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,87,87,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,24.5M,260K,4,4,10,2021,5'8,146lbs,88,90,79,84,58,78,82,13,9,7,14,9,CM,87,50.2M
181872,A. Vidal,33,https://cdn.sofifa.com/players/181/872/20_60.png,Chile,https://cdn.sofifa.com/flags/cl.png,83,83,Inter,https://cdn.sofifa.com/teams/44/light_30.png,15M,125K,4,3,22,2022,5'11,165lbs,79,82,68,86,83,82,81,4,2,4,2,4,CM,83,24.8M
185103,A. Kolarov,34,https://cdn.sofifa.com/players/185/103/20_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,82,82,Inter,https://cdn.sofifa.com/teams/44/light_30.png,8M,105K,2,3,11,2021,6'2,179lbs,78,77,66,79,73,78,80,16,15,8,16,6,LB,82,13.2M
195864,P. Pogba,27,https://cdn.sofifa.com/players/195/864/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,86,87,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,50M,190K,4,5,6,2021,6'3,185lbs,88,90,73,83,89,81,83,5,6,2,4,3,CM,86,98.8M
223848,S. Milinkovic-Savic,25,https://cdn.sofifa.com/players/223/848/20_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,85,89,Lazio,https://cdn.sofifa.com/teams/46/light_30.png,49M,94K,2,4,21,2024,6'3,168lbs,85,88,67,85,88,79,56,7,10,7,16,7,CM,86,87M
20801,Cristiano Ronaldo,35,https://cdn.sofifa.com/players/020/801/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,92,92,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,46M,220K,5,5,7,2022,6'2,183lbs,82,92,88,84,78,95,84,7,11,15,14,11,ST,92,75.9M
200145,Casemiro,28,https://cdn.sofifa.com/players/200/145/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,89,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,59.5M,310K,3,2,14,2023,6'1,185lbs,79,79,63,90,91,72,66,13,14,16,12,12,CDM,89,122M
183711,J. Henderson,30,https://cdn.sofifa.com/players/183/711/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,86,86,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,36.5M,140K,2,3,14,2023,6'0,176lbs,84,84,67,91,78,78,64,7,13,7,9,13,CDM,86,67.5M
231281,T. Alexander-Arnold,21,https://cdn.sofifa.com/players/231/281/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,87,92,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,60M,110K,2,3,66,2024,5'11,152lbs,84,87,78,88,62,76,55,14,15,14,6,7,RB,87,115.5M
208421,Saaºl,25,https://cdn.sofifa.com/players/208/421/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,84,87,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,38.5M,77K,3,3,8,2026,6'0,168lbs,83,85,70,87,77,82,68,7,13,12,10,9,CM,86,81.8M
200458,L. Digne,26,https://cdn.sofifa.com/players/200/458/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,84,85,Everton,https://cdn.sofifa.com/teams/7/light_30.png,31.5M,110K,2,3,12,2023,5'10,163lbs,77,83,75,85,69,72,60,6,12,9,6,13,LB,84,62.2M
209331,M. Salah,28,https://cdn.sofifa.com/players/209/331/20_60.png,Egypt,https://cdn.sofifa.com/flags/eg.png,90,90,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,78M,250K,3,4,11,2023,5'9,157lbs,83,89,92,85,75,91,83,14,14,9,11,14,RW,90,144.3M
204923,M. Sabitzer,26,https://cdn.sofifa.com/players/204/923/20_60.png,Austria,https://cdn.sofifa.com/flags/at.png,83,85,RB Leipzig,https://cdn.sofifa.com/teams/112172/light_30.png,31M,73K,3,3,7,2022,5'10,168lbs,80,82,78,84,76,83,65,11,13,14,15,13,CAM,84,55M
176676,Marcelo,32,https://cdn.sofifa.com/players/176/676/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,83,83,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,16M,170K,4,5,12,2022,5'9,165lbs,82,91,81,74,76,81,59,12,5,5,5,9,LB,83,32.8M
201942,Roberto Firmino,28,https://cdn.sofifa.com/players/201/942/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,87,87,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,52M,190K,3,5,9,2023,5'11,168lbs,84,91,80,88,74,86,72,8,11,9,6,10,CF,87,96.2M
193747,Koke,28,https://cdn.sofifa.com/players/193/747/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,85,85,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,38M,92K,3,3,6,2024,5'9,170lbs,84,84,69,94,75,82,59,14,12,5,10,13,CM,85,77.9M
208722,S. Manae,28,https://cdn.sofifa.com/players/208/722/20_60.png,Senegal,https://cdn.sofifa.com/flags/sn.png,90,90,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,78M,250K,3,4,10,2023,5'9,152lbs,82,89,94,88,70,92,71,10,10,15,7,14,LW,90,144.3M
209297,Fred,27,https://cdn.sofifa.com/players/209/297/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,81,83,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,19M,115K,1,4,17,2023,5'7,137lbs,81,83,81,87,56,70,66,7,16,15,11,15,CM,82,37.5M
223697,R. Gosens,25,https://cdn.sofifa.com/players/223/697/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,82,82,Atalanta,https://cdn.sofifa.com/teams/39/light_30.png,24M,68K,1,3,8,2022,6'0,168lbs,78,79,79,86,76,84,50,7,16,15,16,10,LM,82,40.8M
135507,Fernandinho,35,https://cdn.sofifa.com/players/135/507/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,84,84,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,9.5M,110K,3,3,25,2021,5'10,148lbs,81,82,66,78,76,70,61,12,11,5,13,7,CB,84,17.6M
209989,T. Partey,27,https://cdn.sofifa.com/players/209/989/20_60.png,Ghana,https://cdn.sofifa.com/flags/gh.png,84,85,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,35M,81K,2,3,5,2023,6'1,170lbs,85,83,72,92,82,73,49,11,13,9,9,7,CM,85,74.4M
226161,Marcos Llorente,25,https://cdn.sofifa.com/players/226/161/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,82,85,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,27.5M,65K,1,3,14,2024,6'0,163lbs,83,83,81,86,81,82,64,13,6,6,11,15,CM,84,58.4M
188377,K. Walker,30,https://cdn.sofifa.com/players/188/377/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,85,85,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,30.5M,170K,3,3,2,2024,6'0,154lbs,78,79,83,89,79,68,63,12,6,16,15,8,RB,85,56.4M
189509,Thiago,29,https://cdn.sofifa.com/players/189/509/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,85,85,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,37M,150K,3,5,6,2024,5'9,154lbs,89,91,73,73,59,75,75,6,11,7,9,13,CM,85,68.5M
193082,J. Cuadrado,32,https://cdn.sofifa.com/players/193/082/20_60.png,Colombia,https://cdn.sofifa.com/flags/co.png,81,81,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,11M,79K,3,5,16,2022,5'10,159lbs,80,85,90,71,54,78,65,5,5,13,6,9,RW,82,18.2M
173210,C. Marchisio,31,https://cdn.sofifa.com/players/173/210/19_60.png,Italy,https://cdn.sofifa.com/flags/it.png,84,84,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,19.5M,130K,3,3,8,2020,5'11,163lbs,83,85,77,77,73,78,78,4,3,4,2,4,CM,81,32.2M
191043,Alex Sandro,29,https://cdn.sofifa.com/players/191/043/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,85,85,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,31.5M,120K,3,3,12,2023,5'11,176lbs,77,81,80,90,77,70,60,7,7,9,12,5,LB,85,52M
